classifier_name,dataset_name,accuracy
PrevWeek,33252,"0,262867883777286"
PrevWeek,37436,"0,228860915260857"
PrevWeek,48186,"0,397977953776795"
PrevWeek,1091,"0,110294745343412"
PrevWeek,10656,"0,174632561447406"
PrevWeek,2364,"0,166360354829782"
PrevWeek,49316,"0,120405048883104"
PrevWeek,15337,"0,12775820570694"
PrevWeek,21198,"0,15257363653131"
PrevWeek,6782,"0,139706117782237"
PrevWeek,33800,"0,201287129311032"
PrevWeek,12151,"0,219669333979322"
PrevWeek,32678,"0,150735408877342"
PrevWeek,37658,"0,115809011423739"
PrevWeek,10863,"0,195772354569056"
PrevWeek,33823,"1,00000056908566"
PrevWeek,660,"0,136948637625551"
PrevWeek,35874,"0,457720735342576"
PrevWeek,3799,"0,155331730386746"
PrevWeek,19038,"0,251838386455953"
PrevWeek,23135,"0,168198835269153"
PrevWeek,29363,"0,26286773965555"
PrevWeek,233,"0,189338708744461"
PrevWeek,48336,"0,300552041765053"
PrevWeek,48554,"0,250919589995075"
PrevWeek,47602,"0,14246405709261"
PrevWeek,4624,"1,00000002111993"
PrevWeek,46829,"0,162684025863694"
PrevWeek,49539,"0,312500307578892"
PrevWeek,27114,"0,176471225474807"
PrevWeek,43912,"0,192096558879254"
PrevWeek,30003,"0,154412041921769"
PrevWeek,23750,"0,151654509248114"
PrevWeek,47123,"0,226103845446825"
PrevWeek,18076,"0,188419455496274"
PrevWeek,42722,"0,157169703734222"
PrevWeek,8450,"0,249081039516093"
PrevWeek,20212,"0,118566254432549"
PrevWeek,17843,"0,145221264328587"
PrevWeek,16132,"0,117647752313493"
PrevWeek,25094,"0,182904790342203"
PrevWeek,18493,"0,117647825909889"
PrevWeek,39857,"0,172794181155019"
PrevWeek,34458,"0,162683996995067"
PrevWeek,47944,"0,189338779561407"
PrevWeek,1209,"0,407169420719555"
PrevWeek,38877,"0,147059091568397"
PrevWeek,3376,"0,162684030910347"
PrevWeek,20199,"0,162684177691813"
PrevWeek,19158,"0,188420085696599"
PrevWeek,45167,"0,146140652517504"
PrevWeek,905,"0,151655328409715"
PrevWeek,12699,"0,128677064414929"
PrevWeek,43228,"1,0000006640735"
PrevWeek,33344,"0,370404849816275"
PrevWeek,11355,"0,19393474475567"
PrevWeek,9082,"0,38602948081316"
PrevWeek,38132,"1,000000156976"
PrevWeek,18227,"0,181067067754548"
PrevWeek,26090,"0,295956761739207"
PrevWeek,47744,"0,295956786663577"
PrevWeek,38606,"0,187500216722054"
PrevWeek,16374,"0,277573874279859"
PrevWeek,39339,"1,00000090172039"
PrevWeek,16786,"1,00000038161671"
PrevWeek,17434,"0,165441976874529"
PrevWeek,48602,"0,149817164091813"
PrevWeek,39928,"0,14705886838129"
PrevWeek,7772,"0,164522451877574"
PrevWeek,27429,"0,173713541735214"
PrevWeek,17910,"0,155331284122469"
PrevWeek,993,"0,119485358875718"
PrevWeek,22821,"0,114890641416941"
PrevWeek,17867,"0,161765605230009"
PrevWeek,24757,"0,143382649183727"
PrevWeek,10862,"0,155331352033782"
PrevWeek,48135,"0,311581352338445"
PrevWeek,6579,"0,298713524932376"
PrevWeek,33092,"0,170037759503337"
PrevWeek,13143,"0,346508103774885"
PrevWeek,44155,"0,836397540580104"
PrevWeek,16014,"0,139706779803948"
PrevWeek,8529,"0,173714194269859"
PrevWeek,4559,"0,223345813220406"
PrevWeek,1684,"0,941176724045445"
PrevWeek,31747,"1,00000011737453"
PrevWeek,3026,"0,160846364508636"
PrevWeek,32624,"0,118566859175699"
PrevWeek,36889,"0,537684254027097"
PrevWeek,2946,"0,159926926710697"
PrevWeek,7135,"0,110294406062585"
PrevWeek,45001,"0,257353295099499"
PrevWeek,7212,"0,129596473009482"
PrevWeek,28259,"0,168198974421107"
PrevWeek,14749,"0,280331751509878"
PrevWeek,29863,"0,0891544578059195"
PrevWeek,3541,"0,149816474790932"
PrevWeek,47585,"0,225184485605463"
PrevWeek,31209,"0,239890604642717"
PrevWeek,18828,"0,305147948636661"
PrevWeek,32509,"0,15441182777134"
PrevWeek,16424,"0,139706649388705"
PrevWeek,10776,"0,130515644489574"
PrevWeek,17764,"0,147978409153484"
PrevWeek,15122,"0,170036929595932"
PrevWeek,36909,"0,248162738843094"
PrevWeek,12583,"0,222427128371065"
PrevWeek,3924,"0,186581790466704"
PrevWeek,46013,"0,144301754578919"
PrevWeek,24799,"0,297794918829225"
PrevWeek,36460,"0,272059802345758"
PrevWeek,29502,"0,192095996586293"
PrevWeek,2493,"0,145221485486544"
PrevWeek,47326,"0,167279604955608"
PrevWeek,12656,"0,356617847816689"
PrevWeek,33399,"0,217831103293407"
PrevWeek,35858,"0,164522434060555"
PrevWeek,12164,"0,203125603301399"
PrevWeek,10721,"0,248162283320717"
PrevWeek,36721,"0,198530183585118"
PrevWeek,21924,"0,210478105368805"
PrevWeek,31245,"0,176471478126747"
PrevWeek,22053,"0,194853835304896"
PrevWeek,38154,"0,15716996157848"
PrevWeek,20016,"0,261029637028278"
PrevWeek,18158,"0,165441414085778"
PrevWeek,1107,"1,00000030270645"
PrevWeek,2240,"0,457720933340238"
PrevWeek,40978,"0,198529980458709"
PrevWeek,11291,"0,168199123113654"
PrevWeek,11398,"0,233456663403333"
PrevWeek,30687,"0,21783104623458"
PrevWeek,36378,"0,1571698433502"
PrevWeek,27095,"0,162684255611781"
PrevWeek,46345,"0,184743116567324"
PrevWeek,5825,"0,127757634333477"
PrevWeek,28065,"0,171875101766101"
PrevWeek,26838,"0,191176686087632"
PrevWeek,35584,"0,196691227334112"
PrevWeek,37876,"0,205882998368069"
PrevWeek,5747,"1,00000038477758"
PrevWeek,27101,"0,160846400636405"
PrevWeek,45976,"0,157169302972009"
PrevWeek,21172,"0,272058860955447"
PrevWeek,11913,"0,197610399438807"
PrevWeek,25875,"0,220588988333181"
PrevWeek,28148,"0,203125979783069"
PrevWeek,24244,"0,247243084690766"
PrevWeek,4875,"0,225184187654471"
PrevWeek,14589,"0,210478848084529"
PrevWeek,31458,"0,104780046598193"
PrevWeek,42879,"0,241728572665249"
PrevWeek,9728,"0,189338907901229"
PrevWeek,12636,"0,476103803726993"
PrevWeek,32711,"0,107537329372337"
PrevWeek,21421,"0,30239015537293"
PrevWeek,19832,"0,147978180110675"
PrevWeek,8189,"0,126838728931768"
PrevWeek,9518,"0,216912730863815"
PrevWeek,45005,"1,00000064528991"
PrevWeek,13373,"0,150735926414803"
